"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Halfaouine: Boy of the Terraces",1990,98,"Comedy,Drama",6.7,1198,"1990","Drama","Just Nice"
"Demonia",1990,88,"Horror,Mystery",4.5,1207,"1990","Mystery","Very Short"
"Baby Blood",1990,88,"Horror",6,1511,"1990","Horror","Very Short"
"Catchfire",1990,116,"Action,Comedy,Crime",5.4,3318,"1990","Action","Long"
"A Tale of Springtime",1990,108,"Comedy,Drama,Romance",7.3,3583,"1990","Comedy","Long"
"Dezha vyu",1990,108,"Comedy,Crime,History",7.6,1218,"1990","Crime","Long"
"Flesh Gordon Meets the Cosmic Cheerleaders",1990,102,"Comedy,Sci-Fi",3.6,1389,"1990","Comedy","Just Nice"
"Kadhalan",1994,168,"Action,Drama,Romance",7.2,1761,"1990","Action","Extremely Long"
"I Bought a Vampire Motorcycle",1990,101,"Comedy,Horror",5.6,1006,"1990","Comedy","Just Nice"
"The Local Stigmatic",1990,56,"Drama",5.9,1430,"1990","Drama","Very Short"
"May Fools",1990,107,"Comedy,Romance",7.2,2712,"1990","Romance","Long"
"Moon 44",1990,98,"Action,Sci-Fi,Thriller",5.1,4658,"1990","Sci-Fi","Just Nice"
"Paprika",1991,99,"Drama",5.6,3302,"1990","Drama","Just Nice"
"Prom Night III: The Last Kiss",1990,97,"Comedy,Horror,Thriller",4.7,1908,"1990","Horror","Short"
"Spontaneous Combustion",1990,97,"Horror,Sci-Fi,Thriller",4.8,2282,"1990","Thriller","Short"
"Der Todesking: The Death King",1990,80,"Drama,Horror",6.5,2167,"1990","Drama","Very Short"
"The Match Factory Girl",1990,69,"Comedy,Drama",7.6,8766,"1990","Comedy","Very Short"
"The Voice of the Moon",1990,120,"Comedy,Drama",6.3,2397,"1990","Comedy","Extremely Long"
"Three Men and a Little Lady",1990,104,"Comedy,Drama,Family",5.5,22445,"1990","Family","Just Nice"
"Boiling Point",1990,96,"Action,Comedy,Crime",6.8,5983,"1990","Comedy","Short"
"The Adventures of Ford Fairlane",1990,104,"Action,Adventure,Comedy",6.5,16981,"1990","Adventure","Just Nice"
"After Dark, My Sweet",1990,114,"Crime,Drama,Mystery",6.6,3151,"1990","Crime","Long"
"The Path of Fire",1990,174,"Action,Crime,Drama",7.7,8189,"1990","Action","Extremely Long"
"Air America",1990,113,"Action,Comedy,War",5.8,26697,"1990","Comedy","Long"
"Alice",1990,106,"Comedy,Romance",6.6,13214,"1990","Romance","Long"
"Almost an Angel",1990,95,"Comedy,Drama",5.6,4024,"1990","Drama","Short"
"The Ambulance",1990,96,"Action,Comedy,Horror",5.9,3059,"1990","Horror","Short"
"An Angel at My Table",1990,158,"Biography,Drama",7.5,6536,"1990","Drama","Extremely Long"
"Anjali",1990,150,"Drama,Family",8.2,2624,"1990","Drama","Extremely Long"
"Another 48 Hrs.",1990,93,"Action,Comedy,Crime",5.9,37804,"1990","Comedy","Short"
"Arachnophobia",1990,109,"Comedy,Fantasy,Horror",6.4,62375,"1990","Comedy","Long"
"Archangel",1990,90,"Comedy,Drama,Romance",6.5,1225,"1990","Drama","Very Short"
"Avalon",1990,128,"Drama",7.2,5623,"1990","Drama","Extremely Long"
"Awakenings",1990,121,"Biography,Drama",7.8,122020,"1990","Biography","Extremely Long"
"A Rebel for Love",1990,157,"Action,Romance",5.6,1164,"1990","Romance","Extremely Long"
"Back to the Future Part III",1990,118,"Adventure,Comedy,Sci-Fi",7.4,397895,"1990","Adventure","Long"
"Bad Influence",1990,99,"Drama,Thriller",6.2,7289,"1990","Thriller","Just Nice"
"Basket Case 2",1990,90,"Comedy,Horror",5.4,4317,"1990","Horror","Very Short"
"Betsy's Wedding",1990,94,"Comedy,Romance",5.6,3357,"1990","Romance","Short"
"Bird on a Wire",1990,110,"Action,Comedy",6,39474,"1990","Action","Long"
"BlackJack",1990,111,"Drama,Music",5.6,1385,"1990","Music","Long"
"Blue Steel",1990,102,"Action,Crime,Drama",5.8,12268,"1990","Drama","Just Nice"
"The Bonfire of the Vanities",1990,125,"Comedy,Drama,Romance",5.6,21429,"1990","Romance","Extremely Long"
"Book of Love",1990,82,"Comedy,Romance",6.2,1028,"1990","Comedy","Very Short"
"Brain Dead",1990,85,"Horror,Mystery,Sci-Fi",6,3802,"1990","Sci-Fi","Very Short"
